timeStamp,elapsed,label,success
1768323948584,468,GET credits count,true
1768323949052,383,GET credits count,true
1768323949435,388,GET credits count,true
1768323949823,382,GET credits count,true
1768323950205,381,GET credits count,true
1768323950587,385,GET credits count,true
1768323950972,391,GET credits count,true
1768323951363,383,GET credits count,true
1768323951746,403,GET credits count,true
1768323952149,381,GET credits count,true
1768323952530,378,GET credits count,true
1768323952908,379,GET credits count,true
1768323953287,383,GET credits count,true
1768323953670,382,GET credits count,true
1768323954052,382,GET credits count,true
1768323954434,384,GET credits count,true
1768323954818,383,GET credits count,true
1768323955201,380,GET credits count,true
1768323955581,388,GET credits count,true
1768323955969,385,GET credits count,true
1768323956354,382,GET credits count,true
1768323956736,383,GET credits count,true
1768323957119,375,GET credits count,true
1768323957495,393,GET credits count,true
1768323957888,395,GET credits count,true
1768323958283,381,GET credits count,true
1768323958664,384,GET credits count,true
1768323959048,385,GET credits count,true
1768323959434,379,GET credits count,true
1768323959813,383,GET credits count,true
1768323960196,378,GET credits count,true
1768323960574,383,GET credits count,true
1768323960957,391,GET credits count,true
1768323961348,382,GET credits count,true
1768323961730,380,GET credits count,true
1768323962110,387,GET credits count,true
1768323962497,377,GET credits count,true
1768323962874,383,GET credits count,true
1768323963257,391,GET credits count,true
1768323963648,380,GET credits count,true
1768323964029,374,GET credits count,true
1768323964403,381,GET credits count,true
1768323964784,380,GET credits count,true
1768323965164,377,GET credits count,true
1768323965541,379,GET credits count,true
1768323965921,384,GET credits count,true
1768323966306,380,GET credits count,true
1768323966686,393,GET credits count,true
1768323967079,387,GET credits count,true
1768323967466,377,GET credits count,true
